date,open,close,high,low,volume,amount,amplitude,quote_change,ups_downs,turnover,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,macd,macds,macdh,lgl_macd60,lgl_first_max,lgl_first_min,lgl_first_downs_change,lgl_sec_max,lgl_sec_min,lgl_sec_downs_change
2023-01-03,7.96,8.27,8.34,7.93,113404,92815499.13,5.14,3.63,0.29,2.93,82.92682926829262,60.97560975609753,60.97560975609753,53.65853658536584,53.65853658536584,75.60975609756093,75.60975609756093,0.0,0.0,0.0,0,0,0,0,0,0,0
2023-01-04,8.28,9.1,9.1,8.19,268900,240341905.62,11.0,10.04,0.83,6.94,100.0,73.98373983739835,73.98373983739835,60.43360433604334,60.43360433604334,101.08401084010838,101.08401084010838,0.018621794871794606,0.010345441595441448,0.008276353276353158,0,0,0,0,0,0,0
2023-01-05,9.4,10.01,10.01,9.22,1122650,1090914548.61,8.68,10.0,0.91,28.98,100.0,82.65582655826556,82.65582655826556,67.84101174345074,67.84101174345074,112.28545618789519,112.28545618789519,0.051946908396381275,0.027395223071236454,0.02455168532514482,0,0,0,0,0,0,0
2023-01-06,10.43,11.01,11.01,10.29,1302911,1400220503.21,7.19,9.99,1.0,33.63,100.0,88.43721770551036,88.43721770551036,74.70641373080394,74.70641373080394,115.8988256549232,115.8988256549232,0.10193535560222244,0.05264594547333198,0.049289410128890467,0,0,0,0,0,0,0
2023-01-09,11.6,10.9,12.0,10.5,1398251,1564337959.94,13.62,-1.0,-0.11,36.09,72.97297297297298,83.28246946133123,83.28246946133123,77.56509897431303,77.56509897431303,94.71721043536763,94.71721043536763,0.12257518112417642,0.0734483120995946,0.049126869024581826,0,0,0,0,0,0,0
2023-01-10,11.05,10.99,11.28,10.35,1144551,1238929971.23,8.53,0.83,0.09,29.54,75.1842751842752,80.5830713689792,80.5830713689792,78.57108977253509,78.57108977253509,84.60703456186744,84.60703456186744,0.1365269621487073,0.09054613336800271,0.045980828780704586,0,0,0,0,0,0,0
2023-01-11,10.9,12.09,12.09,10.76,1417872,1642164303.8,12.1,10.01,1.1,36.6,100.0,87.0553809126528,87.0553809126528,81.39918681924098,81.39918681924098,98.36776909947639,98.36776909947639,0.19295459948016003,0.11646298413171657,0.07649161534844345,0,0,0,0,0,0,0
2023-01-12,11.48,10.88,11.72,10.88,1108585,1253166807.77,6.95,-10.01,-1.21,28.61,70.91346153846156,81.67474112125572,81.67474112125572,81.49103825324589,81.49103825324589,82.04214685727538,82.04214685727538,0.17014124068167646,0.12936287860051007,0.04077836208116639,0,0,0,0,0,0,0
2023-01-13,11.02,10.18,11.16,9.95,989878,1040706858.48,11.12,-6.43,-0.7,25.55,54.08653846153846,72.47867356801663,72.47867356801663,78.4869166915028,78.4869166915028,60.4621873210443,60.4621873210443,0.11702509910052683,0.12651279032797422,-0.009487691227447387,0,0,0,0,0,0,0
2023-01-16,9.85,9.48,9.95,9.47,730014,704841865.72,4.72,-6.88,-0.7,18.84,33.0769230769231,59.34475673765212,59.34475673765212,72.1061967068859,72.1061967068859,33.821876799184565,33.821876799184565,0.041586810168139365,0.10748444082578865,-0.06589763065764928,0,0,0,0,0,0,0
2023-01-17,9.42,9.36,9.55,9.26,449730,422159281.44,3.06,-1.27,-0.12,11.61,4.878048780487764,41.18918741859733,41.18918741859733,61.800526944123035,61.800526944123035,-0.03349163245408704,-0.03349163245408704,-0.019902383976882376,0.07961293143913802,-0.09951531541602039,0,0,0,0,0,0,0
2023-01-18,9.32,9.45,9.49,9.25,407028,382169758.38,2.56,0.96,0.09,10.51,7.042253521126736,29.80687611944046,29.80687611944046,51.13597666922884,51.13597666922884,-12.851324980136297,-12.851324980136297,-0.059768625719257784,0.04967961839831888,-0.10944824411757667,0,0,0,0,0,0,0
2023-01-19,9.35,9.24,9.42,9.2,314564,292384982.75,2.33,-2.22,-0.21,8.12,1.3840830449827306,20.332611761287883,20.332611761287883,40.86818836658185,40.86818836658185,-20.738541449300044,-20.738541449300044,-0.10040417070505825,0.01791667425684601,-0.11832084496190426,0,0,0,0,0,0,0
2023-01-20,9.28,9.54,9.67,9.25,438865,416308541.84,4.55,3.25,0.3,11.33,11.764705882352935,17.476643134976232,17.476643134976232,33.071006622713305,33.071006622713305,-13.712083840497911,-13.712083840497911,-0.11212952557919742,-0.009289087778371825,-0.1028404378008256,0,0,0,0,0,0,0
2023-01-30,9.7,9.95,10.15,9.59,624427,617265594.32,5.87,4.3,0.41,16.12,25.9515570934256,20.301614454459354,20.301614454459354,28.814542566628653,28.814542566628653,3.2757582301207577,3.2757582301207577,-0.0952114759781697,-0.0271002396117683,-0.0681112363664014,0,0,0,0,0,0,0
2023-01-31,9.66,9.88,9.95,9.6,410683,401862096.36,3.52,-0.7,-0.07,10.6,26.984126984127027,22.529118631015244,22.529118631015244,26.719401254757514,26.719401254757514,14.148553383530697,14.148553383530697,-0.08542293663883882,-0.03910261587510184,-0.04632032076373698,0,0,0,0,0,0,0
2023-02-01,9.82,10.15,10.25,9.74,467122,467936422.07,5.16,2.73,0.27,12.06,48.46938775510207,31.17587500571085,31.17587500571085,28.204892505075293,28.204892505075293,37.117840006981965,37.117840006981965,-0.06018889024994145,-0.04341702255157214,-0.01677186769836931,0,0,0,0,0,0,0
2023-02-02,10.06,9.95,10.15,9.88,365669,364320740.97,2.66,-1.97,-0.2,9.44,71.42857142857139,44.593440479997696,44.593440479997696,33.66774183004942,33.66774183004942,66.44483777989424,66.44483777989424,-0.05273477074659638,-0.04531475876702809,-0.007420011979568292,0,0,0,0,0,0,0
2023-02-03,9.9,9.98,9.99,9.69,306062,300763261.03,3.02,0.3,0.03,7.9,74.28571428571435,54.490865081903245,54.490865081903245,40.6087829140007,40.6087829140007,82.25502941770833,82.25502941770833,-0.04444032067966397,-0.045137313899509715,0.0006969932198457457,0,0,0,0,0,0,0
2023-02-06,10.0,10.66,10.98,9.92,923048,974592304.59,10.62,6.81,0.68,23.83,82.02247191011236,63.668067357972944,63.668067357972944,48.295211061991445,48.295211061991445,94.41377994993594,94.41377994993594,0.006814236069519808,-0.03462581456947119,0.041440050638991,0,0,0,0,0,0,0
2023-02-07,10.35,10.48,10.52,10.18,598569,618452656.91,3.19,-1.69,-0.18,15.45,71.91011235955058,66.41541569183215,66.41541569183215,54.33527927193835,54.33527927193835,90.57568853161976,90.57568853161976,0.034424560709926055,-0.02068717828545789,0.05511173899538395,0,0,0,0,0,0,0
2023-02-08,10.35,10.15,10.36,10.08,351078,358251760.39,2.67,-3.15,-0.33,9.06,52.02312138728325,61.61798425698252,61.61798425698252,56.762847600286406,56.762847600286406,71.32825757037475,71.32825757037475,0.03325541437633461,-0.00981846278782145,0.04307387716415606,0,0,0,0,0,0,0
