,date,open,close,high,low,volume,amount,amplitude,quote_change,ups_downs,turnover
0,2023-01-03,7.96,8.27,8.34,7.93,113404,92815499.13,5.14,3.63,0.29,2.93
1,2023-01-04,8.28,9.1,9.1,8.19,268900,240341905.62,11.0,10.04,0.83,6.94
2,2023-01-05,9.4,10.01,10.01,9.22,1122650,1090914548.61,8.68,10.0,0.91,28.98
3,2023-01-06,10.43,11.01,11.01,10.29,1302911,1400220503.21,7.19,9.99,1.0,33.63
4,2023-01-09,11.6,10.9,12.0,10.5,1398251,1564337959.94,13.62,-1.0,-0.11,36.09
5,2023-01-10,11.05,10.99,11.28,10.35,1144551,1238929971.23,8.53,0.83,0.09,29.54
6,2023-01-11,10.9,12.09,12.09,10.76,1417872,1642164303.8,12.1,10.01,1.1,36.6
7,2023-01-12,11.48,10.88,11.72,10.88,1108585,1253166807.77,6.95,-10.01,-1.21,28.61
8,2023-01-13,11.02,10.18,11.16,9.95,989878,1040706858.48,11.12,-6.43,-0.7,25.55
9,2023-01-16,9.85,9.48,9.95,9.47,730014,704841865.72,4.72,-6.88,-0.7,18.84
10,2023-01-17,9.42,9.36,9.55,9.26,449730,422159281.44,3.06,-1.27,-0.12,11.61
11,2023-01-18,9.32,9.45,9.49,9.25,407028,382169758.38,2.56,0.96,0.09,10.51
12,2023-01-19,9.35,9.24,9.42,9.2,314564,292384982.75,2.33,-2.22,-0.21,8.12
13,2023-01-20,9.28,9.54,9.67,9.25,438865,416308541.84,4.55,3.25,0.3,11.33
14,2023-01-30,9.7,9.95,10.15,9.59,624427,617265594.32,5.87,4.3,0.41,16.12
15,2023-01-31,9.66,9.88,9.95,9.6,410683,401862096.36,3.52,-0.7,-0.07,10.6
16,2023-02-01,9.82,10.15,10.25,9.74,467122,467936422.07,5.16,2.73,0.27,12.06
17,2023-02-02,10.06,9.95,10.15,9.88,365669,364320740.97,2.66,-1.97,-0.2,9.44
18,2023-02-03,9.9,9.98,9.99,9.69,306062,300763261.03,3.02,0.3,0.03,7.9
19,2023-02-06,10.0,10.66,10.98,9.92,923048,974592304.59,10.62,6.81,0.68,23.83
20,2023-02-07,10.35,10.48,10.52,10.18,598569,618452656.91,3.19,-1.69,-0.18,15.45
21,2023-02-08,10.35,10.15,10.36,10.08,351078,358251760.39,2.67,-3.15,-0.33,9.06
22,2023-02-09,10.04,10.14,10.19,9.91,264266,266692051.96,2.76,-0.1,-0.01,6.82
23,2023-02-10,10.1,9.89,10.1,9.78,334563,331989773.06,3.16,-2.47,-0.25,8.64
24,2023-02-13,9.9,9.95,10.03,9.89,184483,183326053.16,1.42,0.61,0.06,4.76
25,2023-02-14,9.94,9.98,10.07,9.9,179821,179692293.04,1.71,0.3,0.03,4.64
26,2023-02-15,9.92,10.0,10.09,9.85,204677,204330402.54,2.4,0.2,0.02,5.28
27,2023-02-16,9.95,9.62,10.04,9.53,337428,331024469.4,5.1,-3.8,-0.38,8.71
28,2023-02-17,9.62,9.98,10.5,9.58,558991,565791908.65,9.56,3.74,0.36,14.43
29,2023-02-20,10.01,9.83,10.02,9.51,336614,326997701.16,5.11,-1.5,-0.15,8.69
30,2023-02-21,9.84,10.06,10.26,9.79,387105,390091337.22,4.78,2.34,0.23,9.99
31,2023-02-22,9.96,9.96,10.12,9.83,220420,218914092.97,2.88,-0.99,-0.1,5.69
32,2023-02-23,9.99,9.81,10.14,9.72,252363,249981822.81,4.22,-1.51,-0.15,6.51
33,2023-02-24,9.75,9.65,9.82,9.62,148907,144238005.45,2.04,-1.63,-0.16,3.84
34,2023-02-27,9.67,9.45,9.72,9.43,132073,125659434.09,3.01,-2.07,-0.2,3.41
35,2023-02-28,9.52,9.58,9.64,9.42,125081,119369257.83,2.33,1.38,0.13,3.23
36,2023-03-01,9.58,9.9,9.94,9.55,255831,250330611.42,4.07,3.34,0.32,6.6
37,2023-03-02,9.87,9.8,9.93,9.77,158570,155923067.91,1.62,-1.01,-0.1,4.09
38,2023-03-03,9.84,9.78,9.86,9.7,116056,113343820.25,1.63,-0.2,-0.02,3.0
39,2023-03-06,9.78,9.68,9.82,9.64,97334,94546146.91,1.84,-1.02,-0.1,2.51
40,2023-03-07,9.73,9.89,9.96,9.6,299154,293935126.21,3.72,2.17,0.21,7.72
41,2023-03-08,9.8,10.26,10.48,9.73,525633,533228228.55,7.58,3.74,0.37,13.57
42,2023-03-09,10.16,10.07,10.2,9.92,308008,309357420.19,2.73,-1.85,-0.19,7.95
43,2023-03-10,10.0,9.57,10.05,9.57,268986,261658747.17,4.77,-4.97,-0.5,6.94
44,2023-03-13,9.65,9.49,9.65,9.32,161503,152824419.05,3.45,-0.84,-0.08,4.17
45,2023-03-14,9.49,9.64,9.9,9.47,183244,176880924.76,4.53,1.58,0.15,4.73
46,2023-03-15,9.55,9.62,9.83,9.55,145684,140801200.55,2.9,-0.21,-0.02,3.76
47,2023-03-16,9.62,9.28,9.64,9.24,150305,141342210.88,4.16,-3.53,-0.34,3.88
48,2023-03-17,9.34,9.43,9.56,9.29,139648,131376745.1,2.91,1.62,0.15,3.6
49,2023-03-20,9.41,9.72,9.76,9.36,236804,227999878.05,4.24,3.08,0.29,6.11
50,2023-03-21,9.61,9.7,9.73,9.5,155388,149558776.76,2.37,-0.21,-0.02,4.01
51,2023-03-22,9.68,9.91,9.95,9.66,264754,260080384.73,2.99,2.16,0.21,6.83
52,2023-03-23,9.87,9.85,9.9,9.74,161997,159044211.35,1.61,-0.61,-0.06,4.18
53,2023-03-24,9.86,10.13,10.19,9.72,355748,355116426.42,4.77,2.84,0.28,9.18
54,2023-03-27,10.1,9.99,10.19,9.86,224258,224089484.72,3.26,-1.38,-0.14,5.79
55,2023-03-28,9.99,9.66,10.01,9.63,179051,174847665.56,3.8,-3.3,-0.33,4.62
56,2023-03-29,9.66,9.65,9.76,9.48,131638,126780300.5,2.9,-0.1,-0.01,3.4
57,2023-03-30,9.6,9.53,9.64,9.35,122073,116009098.63,3.01,-1.24,-0.12,3.15
58,2023-03-31,9.52,9.61,9.74,9.48,91900,88054078.78,2.73,0.84,0.08,2.37
59,2023-04-03,9.61,9.78,9.78,9.49,157760,151866927.89,3.02,1.77,0.17,4.07
60,2023-04-04,9.71,9.49,9.75,9.41,149806,143308686.04,3.48,-2.97,-0.29,3.87
61,2023-04-06,9.45,9.37,9.45,9.32,96043,90029093.55,1.37,-1.26,-0.12,2.48
62,2023-04-07,9.37,9.54,9.58,9.34,98263,93470004.17,2.56,1.81,0.17,2.54
63,2023-04-10,9.54,9.2,9.57,9.19,133926,124779205.89,3.98,-3.56,-0.34,3.46
64,2023-04-11,9.19,8.91,9.21,8.85,139381,125202730.83,3.91,-3.15,-0.29,3.6
65,2023-04-12,8.91,9.0,9.01,8.85,86625,77521417.01,1.8,1.01,0.09,2.24
66,2023-04-13,9.01,8.73,9.01,8.73,74168,65756773.59,3.11,-3.0,-0.27,1.91
